Tweets La Croix
"💗💆‍♀️GIVEAWAY💆‍♀️💗 Self-love is always a good idea!✨ Treat yourself with these self love essentials that will keep you feeling good as you sip on your LaCroix, of course! 😋🌟 Head over to our Instagram (@LaCroixWater) for your chance to win! https//t.co/zhyQnzmWJ2"
Show some love to the women physicians in your life by tagging them down below! 👇💗✨ #NationalWomenPhysiciansDay (📸 @qwaniemusic) https//t.co/laCCy1pT3q
Your on-the-go looks just got more sparkly! 😍💖 Shop our LaCroix Can Tote now on our e-store here bit.ly/LACSTORE 🔗 https//t.co/1oii9keYxp
Goals!😂💖 twitter.com/turbo_tims/sta…
@JohnBoardCT Enjoy🥰
Cheers to good times with your sparkle BFF! 🌟💗 (📸 @lexi_fotop) https//t.co/Bl9IBRBzv9
"Let your creativity sparkle on 
#InspireYourHeartWithArtDay✨ (🖌️ @by__karina, @smallfunshop, @rosecolor.co, @elbakerart, @luckyeyeink) https//t.co/6joanz6Sws"
"Pamp up your style with our Pamplemousse Pin! 💗🌟 Grab yours now on our e-store, link in bio🔗 https//t.co/EjImh6XkeM"
Show some love to your #sparklesquad today by tagging them down below! 👇💖 (📸 @tabitha_rountree) https//t.co/bZnzFbrwiZ
The only Saturday fuel you need ☕✨ https//t.co/UZ1SftbdFf
"✨🧩GIVEAWAY🧩✨ Calling all puzzle lovers, this one’s for you! 💖 To celebrate #NationalPuzzleDay we’re giving away these special LaCroix puzzles to 64 random lucky fans! 🌟 Head over to our Instagram (@LaCroixWater) for your chance to win! Giveaway ends January 30th 11am (EST) https//t.co/nj5Yyb54Y8"
Adventure days are better with LaCroix 💚💫 (📸 @glambymj) https//t.co/QN13pJSE8n
Keep your bubbles perfectly chilled in our Pastéque Cooler! 💚✨ Shop it now on our e-store here bit.ly/LACSTORE 🔗 https//t.co/pRMp6ymltS
@Tyler47097065 Hi Blue 👋
All day everyday 🙌🥰 twitter.com/Aspiringluis/s…
Pure joy! 💙✨ https//t.co/RV4P0xKxdz
It’s a great day to enjoy some Limoncello! 🍋✨ (📸 @maria.beer) https//t.co/h2Q6EpsWh5
🙌💖 twitter.com/AmeliaHoweee/s…
@N3ONTV Thanks for the love! 💖 Please send us a DM💌
The perfect day to cozy up with Cerise Limón 🥰💫❤️ https//t.co/bPmbbOSzh1
@jhshifris11 So cool! Please send us a DM 💌
@emmagiannaa Hi! Thanks for being an amazing fan! Please send us a DM 💌
@LaurenNakaoWinn @boxedwater Thanks for the love! 🥰
Nothing like LaCroix with your #sparklebestie! 💗✨ (📸 @jilliankayp) https//t.co/ocWergz9Gq
Always pushing 🅿️amplemousse ✨
Always dress your best with our Pamplemousse Long Sleeve T-shirt! 💖 Head over to our e-store to shop now bit.ly/LACSTORE 🔗 https//t.co/QRxlNC47Ze
@kiwi_milli 😂😂
@Just_bearittttt Thanks for the love!🥰
"Add an innocent twist to your Tuesday happy hour with our Lite Sparkler Mocktail! 💚✨ Here’s the recipe 

▪️Pour Lime Lacroix into a champagne flute 
▪️Top it off with an ounce of pomegranate juice
▪️Drop in a few pomegranate seeds or limes for a fun garnish! https//t.co/gylq4IgYJ4"
Start your week off right with some LaCroix NiCola! 💚🌟 https//t.co/QUOagd3BuL
That feeling when Orange is just too good ☺️🧡 (📸 @onesmartnurse) https//t.co/rba2RCh1nE
@chicagobars @jewelosco @LakeshoreBev 🥰✨
Ready to serve up to some ice cold sparkles 💙🧊✨ https//t.co/OL1WSw2pLT
Handwritten to sparkly perfection! ✍️✨💖 #NationalHandwritingDay https//t.co/gN8IK30arz
Enjoy the refreshing scent of Limoncello everywhere you go! 🍋✨ Shop our Limoncello Car Freshener on our e-store here bit.ly/LACSTORE 🔗 https//t.co/KSMmGEYzEG
Double the views 😍🌟 (📸 @elenaajoy) https//t.co/cDjnOV9NBD
Pics or it didn’t happen 🥰🤳 (📸 @kaya.durkee) https//t.co/OXac78rrAX
Snow days call for Lemon LaCroix 🍋✨❄️ https//t.co/c6ZA7fTBb7
Little LaCroix Lover a series 🥰💚 (📸 @giannamattia) https//t.co/xKYOoIW4RB
